Framewroks,Rango de retención,,,,,Rango de interés,,,,,Rango de Uso,,,,,Conciencia Rango,,,,,,,,
Year,2016,2017,2018,2019,2020,2021,2016,2017,2018,2019,2020,2021,2016,2017,2018,2019,2020,2021,2016,2017,2018,2019,2020,2021
React,1,1,2,1,2,3,1,1,2,3,3,4,1,1,1,1,1,1,1,1,2,1,1,1
Vue.js,2,2,1,3,3,4,2,2,1,2,2,3,4,3,3,3,3,3,4,3,3,3,3,2
Angular,3,3,5,5,8,9,3,3,4,5,8,9,2,2,2,2,2,2,2,2,1,2,2,3
Preact,,,3,4,5,7,,,3,4,4,7,,,5,4,5,5,,,5,5,6,6
Ember,4,4,4,6,9,10,4,4,5,6,9,10,3,4,4,5,6,6,3,4,4,4,4,5
Svelte,,,,2,1,2,,,,1,1,1,,,,6,4,4,,,,6,5,4
Alpine.js,,,,,4,5,,,,,6,6,,,,,8,8,,,,,7,7
Lit,,,,,6,6,,,,,5,5,,,,,7,7,,,,,8,9
Stimulus,,,,,7,8,,,,,7,8,,,,,9,10,,,,,9,10
Solid,,,,,,1,,,,,,2,,,,,,9,,,,,,8
