Framewroks,Rango de retención,,,,,Rango de interés,,,,,Rango de Uso,,,,,Conciencia Rango,,,,
Year,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021
Express,1,1,1,2,6,1,2,3,2,6,1,1,1,1,1,1,1,1,1,1
Next.js,,2,2,1,4,,1,1,1,4,,2,2,2,2,,2,2,2,2
Nuxt,,,,4,9,,,,7,9,,,,4,4,,,,4,4
Gatsby,,,3,7,13,,,2,4,13,,,3,3,3,,,3,3,3
Nest,,,,5,7,,,,5,7,,,,5,5,,,,5,5
Strapi,,,,6,10,,,,6,8,,,,6,6,,,,6,8
Fastify,,,,3,3,,,,3,5,,,,7,7,,,,7,9
Redwood,,,,,12,,,,,12,,,,,13,,,,,13
Astro,,,,,2,,,,,3,,,,,11,,,,,11
Eleventy,,,,,8,,,,,10,,,,,9,,,,,10
Blitz,,,,,11,,,,,11,,,,,12,,,,,12
Remix,,,,,5,,,,,2,,,,,10,,,,,6
SvelteKit,,,,,1,,,,,1,,,,,8,,,,,7
